letter,frequency
0,12
0.14,1
0.22,1
0.3,2
0.33,1
0.38,1
0.39,1
0.41,1
0.42,1
0.43,2
0.44,1
0.45,1
0.46,1
0.47,1
0.48,1
0.5,10
0.53,1
0.56,3
0.57,2
0.6,1
0.61,1
0.62,1
0.63,3
0.65,2
0.69,2
0.71,1
0.73,1
0.75,1
0.76,1
0.8,1
0.81,3
0.83,1
0.84,2
0.85,2
0.86,1
0.88,3
0.89,1
0.9,3
0.91,1
0.92,2
0.93,1
0.94,1
0.95,1
0.96,1
0.98,3
0.99,2
1,1
1.04,1
1.06,2
1.08,3
1.09,1
1.11,2
1.13,2
1.15,1
1.16,1
1.17,4
1.19,1
1.21,1
1.22,2
1.23,2
1.24,2
1.25,1
1.27,1
1.28,1
1.29,2
1.31,1
1.32,1
1.33,4
1.38,1
1.39,1
1.4,1
1.41,2
1.42,1
1.43,1
1.44,1
1.46,4
1.51,1
1.52,1
1.57,1
1.59,1
1.63,2
1.65,2
1.66,1
1.67,1
1.71,1
1.72,1
1.74,2
1.75,1
1.77,1
1.78,1
1.87,1
1.9,1
1.92,1
1.94,1
1.96,2
1.99,1
2,1
2.07,2
2.14,2
2.17,1
2.18,1
2.21,1
2.34,1
